Ticket,Open Time,Type,Size,Item,Price,S / L,T / P,Close Time,Price,Commission,Taxes,Swap,Profit
107843118,2021.05.31 15:29:44,buy,0.3,us.100..,13678.27,0,13680.77,2021.06.01 00:26:26,13680.77,-9.6,0,0,54.86
107846543,2021.06.01 07:51:28,buy,0.3,us.100..,13691.72,0,13694.72,2021.06.01 08:03:53,13694.72,-9.6,0,0,65.91
107846653,2021.06.01 08:10:59,buy,0.3,us.100..,13688.53,0,13691.53,2021.06.01 08:14:40,13691.53,-9.6,0,0,65.98
107846772,2021.06.01 08:30:42,buy,0.3,us.100..,13692.47,0,13695.47,2021.06.01 08:33:37,13695.47,-9.6,0,0,65.9
107847291,2021.06.01 09:02:16,buy,0.3,us.100..,13705.22,0,13708.22,2021.06.01 09:03:35,13708.22,-9.6,0,0,65.82
107848656,2021.06.01 09:53:04,buy,3,us.100..,13710.47,0,13716.32,2021.06.01 09:59:50,13714.24,-96,0,0,826.33
107849048,2021.06.01 10:14:31,buy,3,us.100..,13713.53,0,13724.92,2021.06.01 10:54:58,13724.92,-96,0,0,2499.67
107850446,2021.06.01 11:53:57,buy,3,us.100..,13739.28,0,0,2021.06.01 15:31:49,13749.51,-96,0,0,2238.96
107860074,2021.06.02 12:18:30,buy,1,us.100..,13630.99,0,13639.6,2021.06.02 12:31:16,13638.03,-32,0,0,516.55
107860204,2021.06.02 12:37:31,buy,1,us.100..,13635.03,0,13642.63,2021.06.02 12:39:09,13639.04,-32,0,0,294.19
107862303,2021.06.02 15:32:52,buy,1,us.100..,13671.4,0,13678.35,2021.06.02 15:33:04,13678.35,-32,0,0,508.64
107862306,2021.06.02 15:33:01,buy,1,us.100..,13677.98,0,13741.33,2021.06.02 16:25:27,13696.01,-32,0,0,1317.6
107862331,2021.06.02 15:33:09,buy,1,us.100..,13679.98,0,13740.61,2021.06.02 16:25:27,13696.37,-32,0,0,1197.72
107864376,2021.06.02 16:52:49,buy,1,us.100..,13688.39,0,13711.74,2021.06.03 06:27:56,13689.33,-32,0,0,68.56
107864380,2021.06.02 16:54:08,buy,1,us.100..,13686.85,0,13711.88,2021.06.03 06:27:56,13689.33,-32,0,0,180.89
107864427,2021.06.02 16:58:52,buy,1,us.100..,13680.86,0,13711.74,2021.06.03 06:27:56,13689.33,-32,0,0,617.78
107902580,2021.06.08 20:15:39,buy,0.3,us.100..,13804.5,13800.25,13809.41,2021.06.08 20:16:56,13808.61,-9.6,0,0,90.29
107902784,2021.06.08 21:02:37,buy,0.3,us.100..,13835.41,13827.41,13844.84,2021.06.08 21:22:54,13827.41,-9.6,0,0,-175.73
107902901,2021.06.08 21:26:20,buy,0.3,us.100..,13819.41,13816.76,13838.59,2021.06.08 21:39:42,13816.76,-9.6,0,0,-58.21
107902965,2021.06.08 21:41:08,buy,0.3,us.100..,13817,0,13828.46,2021.06.08 21:43:49,13819.71,-9.6,0,0,59.53
107905963,2021.06.09 11:44:21,buy,0.3,us.100..,13822.98,0,13828.7,2021.06.09 11:52:41,13824.62,-9.6,0,0,35.95
107906933,2021.06.09 13:31:23,buy,0.3,us.100..,13847.24,0,13862.9,2021.06.09 13:53:30,13858.72,-9.6,0,0,251.56
107906992,2021.06.09 13:35:00,buy,0.3,us.100..,13834.45,0,13862.9,2021.06.09 13:53:30,13858.53,-9.6,0,0,527.66
107907389,2021.06.09 14:18:26,buy,0.3,us.100..,13847.4,0,13862.9,2021.06.09 14:22:53,13849.24,-9.6,0,0,40.31
107908039,2021.06.09 15:23:49,buy,0.3,us.100..,13871.22,0,13907.64,2021.06.09 15:30:48,13881.53,-9.6,0,0,225.68
107909110,2021.06.09 16:50:06,buy,0.3,us.100..,13846.39,0,13869.37,2021.06.09 16:57:48,13853.03,-9.6,0,0,145.95
107909491,2021.06.09 17:29:58,buy,0.3,us.100..,13853.39,0,13896.63,2021.06.09 18:15:09,13847.78,-9.6,0,0,-123.6
107909543,2021.06.09 17:36:13,buy,0.3,us.100..,13835.99,0,13896.38,2021.06.09 18:15:09,13847.78,-9.6,0,0,259.76
107909652,2021.06.09 17:57:17,buy,0.3,us.100..,13823.41,0,13896.38,2021.06.09 18:15:09,13847.52,-9.6,0,0,531.19
107910199,2021.06.09 19:42:54,buy,0.3,us.100..,13860.2,0,13881.07,2021.06.09 20:02:56,13868.1,-9.6,0,0,173.71
